Country,Total Cases,New Cases,Total Deaths,New Deaths
North America,"128,176,011",,"1,645,417",
Asia,"220,733,449",+67,"1,549,698",
Europe,"249,987,374",+58,"2,071,024",+1
South America,"68,987,851",,"1,360,616",
Oceania,"14,644,324",,"30,358",
Africa,"12,837,874",,"258,830",
,721,,15,
World,"695,367,604",+125,"6,915,958",+1
USA,"108,429,339",,"1,175,172",
India,"44,998,162",,"531,930",
France,"40,138,560",,"167,642",
Germany,"38,428,685",,"174,352",
Brazil,"37,789,040",,"705,313",
S. Korea,"34,571,873",,"35,934",
Japan,"33,803,572",,"74,694",
Italy,"26,007,789",,"191,469",
UK,"24,688,073",,"228,924",
Russia,"23,003,453",,"400,009",
Turkey,"17,232,066",,"102,174",
Spain,"13,914,811",,"121,760",
Australia,"11,764,239",,"22,727",
Vietnam,"11,623,420",+27,"43,206",
Taiwan,"10,241,520",,"19,005",
Argentina,"10,070,247",,"130,608",
Netherlands,"8,617,412",,"22,992",
Mexico,"7,649,199",,"334,472",
Iran,"7,615,822",,"146,364",
Indonesia,"6,813,378",,"161,918",
Poland,"6,520,651",+15,"119,644",
Colombia,"6,378,000",,"142,961",
Greece,"6,101,379",,"37,089",
Austria,"6,081,287",,"22,542",
Portugal,"5,610,180",,"27,247",
Ukraine,"5,557,995",,"112,418",
Chile,"5,292,252",,"64,497",
Malaysia,"5,124,481",,"37,167",
Israel,"4,835,954",,"12,651",
Belgium,"4,812,396",,"34,376",
DPRK,"4,772,813",,74,
Thailand,"4,756,837",,"34,468",
Canada,"4,716,000",,"53,541",
Czechia,"4,647,142",+28,"42,831",+1
Peru,"4,519,976",,"222,161",
Switzerland,"4,410,460",,"14,452",
Philippines,"4,174,101",,"66,643",
South Africa,"4,076,463",,"102,595",
Romania,"3,429,120",,"68,296",
Denmark,"3,183,756",,"8,814",
Hong Kong,"2,919,340",,"14,234",
Sweden,"2,716,246",,"24,821",
Singapore,"2,560,028",,"1,875",
Serbia,"2,549,375",,"18,057",
Iraq,"2,465,545",,"25,375",
New Zealand,"2,461,379",,"4,775",
Hungary,"2,204,090",,"48,881",
Bangladesh,"2,045,517",,"29,477",
Slovakia,"1,867,323",,"21,167",
Georgia,"1,855,289",,"17,132",
Jordan,"1,746,997",,"14,122",
Ireland,"1,719,064",,"9,200",
Pakistan,"1,581,770",,"30,664",
Norway,"1,487,845",,"5,641",
Finland,"1,485,088",,"10,201",
Kazakhstan,"1,411,831",,"13,848",
Slovenia,"1,344,783",+15,"7,100",
Lithuania,"1,325,660",,"9,704",
Bulgaria,"1,311,976",,"38,458",
Guatemala,"1,277,031",,"20,257",
Morocco,"1,276,176",,"16,297",
Croatia,"1,274,834",,"18,318",
Lebanon,"1,239,904",,"10,947",
Costa Rica,"1,238,883",,"9,428",
Bolivia,"1,207,206",,"22,399",
Tunisia,"1,153,361",,"29,423",
Cuba,"1,115,125",,"8,530",
Ecuador,"1,069,114",,"36,042",
UAE,"1,067,030",,"2,349",
Panama,"1,048,242",,"8,660",
Uruguay,"1,038,774",,"7,634",
Mongolia,"1,010,975",,"2,179",
Nepal,"1,003,434",,"12,031",
Belarus,"994,037",,"7,118",
Latvia,"978,499",,"6,392",
Saudi Arabia,"841,469",,"9,646",
Azerbaijan,"832,438",,"10,302",
Paraguay,"814,603",,"20,018",
Bahrain,"727,660",,"1,573",
Sri Lanka,"672,583",,"16,882",
Dominican Republic,"667,048",,"4,384",
Kuwait,"666,206",,"2,570",
Cyprus,"660,854",,"1,364",
Myanmar,"641,225",+1,"19,495",
Moldova,"621,441",,"12,126",
Palestine,"621,008",,"5,404",
Estonia,"619,690",,"3,001",
