Country,"GDP (nominal, 2022)"
United States,25462700000000.0
China,17963200000000.0
Japan,4231140000000.0
Germany,4072190000000.0
India,3385090000000.0
United Kingdom,3070670000000.0
France,2782910000000.0
Russia,2240420000000.0
Canada,2139840000000.0
Italy,2010430000000.0
Brazil,1920100000000.0
Australia,1675420000000.0
South Korea,1665250000000.0
Mexico,1414190000000.0
Spain,1397510000000.0
Indonesia,1319100000000.0
Saudi Arabia,1108150000000.0
Netherlands,991115000000.0
Turkey,905988000000.0
Switzerland,807706000000.0
Poland,688177000000.0
Argentina,632770000000.0
Sweden,585939000000.0
Norway,579267000000.0
Belgium,578604000000.0
Ireland,529245000000.0
Israel,522033000000.0
United Arab Emirates,507535000000.0
Thailand,495341000000.0
Nigeria,477386000000.0
Egypt,476748000000.0
Austria,471400000000.0
Singapore,466789000000.0
Bangladesh,460201000000.0
Vietnam,408802000000.0
Malaysia,406306000000.0
South Africa,405870000000.0
Philippines,404284000000.0
Denmark,395404000000.0
Iran,388544000000.0
Pakistan,376533000000.0
Hong Kong,359839000000.0
Colombia,343939000000.0
Romania,301262000000.0
Chile,301025000000.0
Czech Republic (Czechia),290924000000.0
Finland,280826000000.0
Iraq,264182000000.0
Portugal,251945000000.0
New Zealand,247234000000.0
Peru,242632000000.0
Qatar,237296000000.0
Kazakhstan,220623000000.0
Greece,219066000000.0
Algeria,191913000000.0
Kuwait,184558000000.0
Hungary,178789000000.0
Ukraine,160503000000.0
Morocco,134182000000.0
Ethiopia,126783000000.0
Slovakia,115469000000.0
Ecuador,115049000000.0
Oman,114667000000.0
Dominican Republic,113642000000.0
Kenya,113420000000.0
Angola,106714000000.0
Guatemala,95003333381.0
Bulgaria,89040398406.0
Luxembourg,82274812251.0
Uzbekistan,80391853885.0
Azerbaijan,78721058824.0
Panama,76522511781.0
Tanzania,75709289056.0
Sri Lanka,74403578363.0
Ghana,72838798788.0
Belarus,72793457588.0
Uruguay,71177146197.0
Croatia,70964606465.0
Lithuania,70334299008.0
Côte d'Ivoire,70018715017.0
Costa Rica,68380838316.0
Serbia,63501748652.0
Slovenia,62117768015.0
Myanmar,59364362541.0
DR Congo,58065953573.0
Sudan,51662241775.0
Jordan,47451499859.0
Tunisia,46664948952.0
Libya,45752336036.0
Uganda,45559202049.0
Bahrain,44390820479.0
Cameroon,44341646509.0
Bolivia,43068885673.0
Paraguay,41722295362.0
Latvia,41153912663.0
Nepal,40828247302.0
Estonia,38100812959.0
El Salvador,32488720000.0
Honduras,31717700115.0
Papua New Guinea,30633444295.0
Cambodia,29956769529.0
Zambia,29784454056.0
Cyprus,28439052741.0
Trinidad and Tobago,27899082337.0
Iceland,27841648044.0
Senegal,27684430244.0
Georgia,24605375420.0
Bosnia and Herzegovina,24527507288.0
Macao,21979475561.0
Guinea,21227749389.0
Gabon,21071739228.0
Zimbabwe,20678055598.0
Botswana,20352322157.0
Haiti,20253551885.0
Armenia,19502783988.0
State of Palestine,19111900000.0
Burkina Faso,18884619613.0
Albania,18882095518.0
Mali,18827176532.0
Mozambique,17851491428.0
Malta,17765270015.0
Benin,17401746309.0
Jamaica,17097760745.0
Mongolia,16810883361.0
Brunei,16681531646.0
Laos,15724383783.0
Nicaragua,15671583878.0
Guyana,15357537068.0
Madagascar,14954967604.0
Congo,14615532210.0
Moldova,14420947884.0
Niger,13969605583.0
North Macedonia,13563132057.0
Rwanda,13312796765.0
Malawi,13164667627.0
Mauritius,12898307089.0
Bahamas,12897400000.0
Chad,12704149842.0
Namibia,12607436976.0
Equatorial Guinea,11813908448.0
Kyrgyzstan,10930644915.0
Tajikistan,10492123388.0
Mauritania,10375460680.0
Togo,8126439481.0
Maldives,6189865408.0
Montenegro,6095978868.0
Barbados,5637914515.0
Fiji,4943248200.0
Eswatini,4854167638.0
Liberia,4001047150.0
Sierra Leone,3970343852.0
Suriname,3620655116.0
Andorra,3352032737.0
Timor-Leste,3163324631.0
Burundi,3073414678.0
Belize,2824081836.0
Lesotho,2553459763.0
Central African Republic,2382618615.0
Cabo Verde,2314816792.0
Gambia,2273060863.0
Saint Lucia,2065027556.0
Antigua and Barbuda,1757603704.0
Guinea-Bissau,1633559092.0
Solomon Islands,1595710784.0
Seychelles,1588406479.0
Grenada,1256413185.0
Comoros,1242519407.0
Vanuatu,983582865.0
Saint Kitts & Nevis,961563259.0
St. Vincent & Grenadines,948558503.0
Samoa,832421565.0
Dominica,612048148.0
Sao Tome & Principe,546680342.0
Micronesia,427094119.0
Marshall Islands,279667900.0
Kiribati,223352943.0
Tuvalu,60349391.0
