Date,Power,Detector,Quality
1-Jan-16,96,8,Good
2-Jan-16,96,10,Good
3-Jan-16,91,8,Good
4-Jan-16,97,9,Good
5-Jan-16,91,11,Good
6-Jan-16,100,8,Good
7-Jan-16,95,8,Good
8-Jan-16,94,8,Good
9-Jan-16,99,12,Good
10-Jan-16,100,12,Good
11-Jan-16,92,11,Good
12-Jan-16,97,11,Good
13-Jan-16,99,12,Good
14-Jan-16,97,12,Good
15-Jan-16,98,10,Good
16-Jan-16,90,11,Good
17-Jan-16,97,9,Good
18-Jan-16,98,9,Good
19-Jan-16,96,11,Good
20-Jan-16,95,10,Good
21-Jan-16,100,10,Good
22-Jan-16,96,9,Good
23-Jan-16,99,8,Good
24-Jan-16,93,12,Good
25-Jan-16,97,12,Good
26-Jan-16,98,11,Good
27-Jan-16,95,9,Good
28-Jan-16,97,11,Good
29-Jan-16,94,8,Good
30-Jan-16,90,8,Good
31-Jan-16,99,9,Good
1-Feb-16,95,8,Good
2-Feb-16,90,10,Good
3-Feb-16,91,8,Good
4-Feb-16,91,9,Good
5-Feb-16,100,11,Good
6-Feb-16,100,9,Good
7-Feb-16,97,11,Good
8-Feb-16,94,10,Good
9-Feb-16,98,10,Good
10-Feb-16,100,12,Good
11-Feb-16,95,11,Good
12-Feb-16,94,8,Good
13-Feb-16,94,10,Good
14-Feb-16,94,6,Bad
15-Feb-16,93,7,Bad
16-Feb-16,95,6,Bad
17-Feb-16,94,7,Bad
18-Feb-16,97,5,Bad
19-Feb-16,96,7,Bad
20-Feb-16,99,5,Bad
21-Feb-16,95,6,Bad
22-Feb-16,97,6,Bad
23-Feb-16,91,5,Bad
24-Feb-16,91,7,Bad
25-Feb-16,97,5,Bad
26-Feb-16,93,6,Bad
27-Feb-16,92,6,Bad
28-Feb-16,92,5,Bad
29-Feb-16,99,7,Bad
1-Mar-16,92,5,Bad
2-Mar-16,98,6,Bad
3-Mar-16,97,7,Bad
4-Mar-16,100,12,Good
5-Mar-16,97,12,Good
6-Mar-16,93,11,Good
7-Mar-16,90,11,Good
8-Mar-16,100,11,Good
9-Mar-16,97,8,Good
10-Mar-16,100,12,Good
11-Mar-16,98,8,Good
12-Mar-16,92,10,Good
13-Mar-16,94,10,Good
14-Mar-16,91,10,Good
15-Mar-16,92,8,Good
16-Mar-16,91,11,Good
17-Mar-16,91,11,Good
18-Mar-16,97,11,Good
19-Mar-16,96,10,Good
20-Mar-16,94,12,Good
21-Mar-16,99,9,Good
22-Mar-16,93,10,Good
23-Mar-16,100,8,Good
24-Mar-16,100,10,Good
25-Mar-16,90,11,Good
26-Mar-16,95,8,Good
27-Mar-16,98,12,Good
28-Mar-16,97,8,Good
29-Mar-16,97,11,Good
30-Mar-16,91,12,Good
31-Mar-16,94,12,Good
1-Apr-16,90,11,Good
2-Apr-16,98,12,Good
3-Apr-16,96,8,Good
4-Apr-16,100,10,Good
5-Apr-16,91,11,Good
6-Apr-16,93,8,Good
7-Apr-16,97,12,Good
8-Apr-16,96,9,Good
9-Apr-16,90,8,Good
10-Apr-16,91,8,Good
11-Apr-16,90,9,Good
12-Apr-16,97,8,Good
13-Apr-16,91,9,Good
14-Apr-16,93,8,Good
15-Apr-16,91,11,Good
16-Apr-16,100,11,Good
17-Apr-16,96,8,Good
18-Apr-16,90,10,Good
19-Apr-16,98,10,Good
20-Apr-16,96,11,Good
21-Apr-16,90,10,Good
22-Apr-16,90,12,Good
23-Apr-16,98,9,Good
24-Apr-16,93,8,Good
25-Apr-16,97,10,Good
26-Apr-16,96,11,Good
27-Apr-16,97,11,Good
28-Apr-16,93,10,Good
29-Apr-16,93,12,Good
30-Apr-16,100,10,Good
1-May-16,67,10,Bad
2-May-16,62,11,Bad
3-May-16,64,8,Bad
4-May-16,70,12,Bad
5-May-16,62,11,Bad
6-May-16,61,10,Bad
7-May-16,73,10,Bad
8-May-16,75,12,Bad
9-May-16,67,9,Bad
10-May-16,62,8,Bad
11-May-16,65,8,Bad
12-May-16,70,10,Bad
