Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Control3,Control4,Control5,Control6,Control7,Experimental10,Expeirmental11,Exp12,Exp13,Exp14,Exp15,Exp16,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22
Xkr4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl15,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593,1974,1744,2085,2593
Lypla1,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197,1652,1442,1528,2197
Tcea1,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625,4690,3858,5330,6625
Rgs20,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17,17,7,9,17
Atp6v1h,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307,2093,1807,3504,4307
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156,3054,2437,3276,4156
