,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,16600000,4597.366251,68.56889036,6943.402389,3834.506404,23636.75324,158,208.9975904,230
2,7480000,3086.070608,11.70783731,4939.292231,2097.741369,11676.95526,158,210.2834225,227
3,8840000,3354.912454,-256.5010475,4048.43264,3157.783931,13159.79797,159,208.3891403,232
4,480000,781.764019,0,1366.260102,400,2400,159,199.3333333,225
5,20960000,5165.955948,6.367190229,8978.68827,3594.921251,31029.64646,158,206.7461832,230
6,13080000,4080.927988,-293.5869787,4409.161861,3873.986828,13608.32611,158,211.8807339,230
7,1920000,1563.528038,37.19667666,2182.69861,1230.625,5055.634919,164,207.25,228
8,8480000,3285.889733,-18.59854451,3665.415586,3282.264204,11842.64069,161,209.0518868,233
9,7920000,3175.540457,58.59073067,4298.603159,2445.281363,11062.7417,158,207.3484848,226
10,49120000,7908.320077,23.86543135,11353.0801,6161.230519,39570.56275,158,207.3151466,234
11,59160000,8678.989081,117.7585945,14461.38026,7771.733111,58081.83259,158,207.8370521,231
12,8840000,3354.912454,12.29396648,6482.038348,1859.892751,14145.58441,159,206.8823529,224
13,600000,874.0387445,157.0796327,923.7604307,805.3156731,2282.842712,162,202.4,229
14,3360000,2068.353178,112.0270651,2772.409728,1805.384512,8028.427125,165,204.0119048,230
15,6120000,2791.455895,110.1886191,3236.275555,2548.69714,9559.797975,160,206.5816993,225
16,56920000,8513.095494,10.70018225,12289.54648,7198.083675,50716.14716,158,209.8910752,233
17,2760000,1874.604263,-15.05456597,2388.816317,1685.248836,6545.584412,158,206.4782609,233
18,11840000,3882.673848,-253.9663891,5082.38166,3058.566868,13774.01154,158,209.125,229
19,6880000,2959.710808,-196.0457303,3760.478676,2431.535361,10174.01154,159,208.25,226
20,14320000,4269.987152,129.8362474,5774.527417,3265.239532,15216.65222,158,205.8882682,228
21,11720000,3862.948028,-27.47138574,4425.076296,3646.572264,14174.01154,158,207.8737201,230
22,52160000,8149.366519,-120.3737784,11140.55013,6668.381414,41419.09089,158,206.8842025,231
23,12840000,4043.314946,-207.012212,5348.464628,3160.521028,14105.38239,158,207.9595016,233
24,4920000,2502.866069,266.0621215,2769.600535,2295.226843,7842.640687,159,205.1056911,228
25,16720000,4613.953314,123.5470119,7457.064999,3456.20659,20768.12409,158,205.2966507,224
26,33880000,6567.903454,-159.9877496,9378.58609,5798.106421,30299.49494,158,208.1546635,229
27,23560000,5476.999514,-28.23588469,7096.021288,4358.739431,20953.91052,158,207.5568761,234
28,720000,957.461473,305.0835082,1483.344382,607.9193931,2724.264069,163,206.2777778,225
29,39960000,7132.927324,-106.3892342,7980.932429,6728.193244,32219.09089,158,205.5605606,227
30,13800000,4191.742563,246.2723577,6088.177628,3039.243817,15981.11832,158,206.4434783,225
31,6360000,2845.663983,15.49914013,3882.01748,2326.091087,10856.85425,158,205.6603774,226
32,73480000,9672.519927,-104.7419885,14526.47036,7798.844936,48316.14716,158,202.7016875,225
33,880000,1058.513486,270.3256094,1311.993315,832.597739,2965.685425,161,194.5454545,220
34,28520000,6026.00961,-268.196326,8282.097663,5057.46135,32376.4502,158,203.7096774,226
35,2480000,1776.973289,-92.45199538,2548.713947,1274.597317,5979.898987,162,203.5,226
